experiment,step,train_loss,val_loss
sa,3400,2.4176,2.4342
sa,3450,2.4102,2.4444
sa,3500,2.4161,2.444
sa,3550,2.4171,2.4284
sa,3600,2.4062,2.4314
sa,3650,2.4215,2.4297
sa,3700,2.4157,2.4367
sa,3750,2.4175,2.4311
sa,3800,2.4092,2.433
sa,3850,2.4059,2.4379
sa,3900,2.4152,2.4364
sa,3950,2.4101,2.4325
sa,4000,2.4171,2.4215
sa,4050,2.3955,2.4299
sa,4100,2.4048,2.4295
sa,4150,2.3949,2.4189
sa,4200,2.4033,2.4247
sa,4250,2.3994,2.4186
sa,4300,2.405,2.4151
sa,4350,2.407,2.4268
sa,4400,2.3996,2.4233
sa,4450,2.4019,2.4074
sa,4500,2.392,2.412
sa,4550,2.3842,2.4259
sa,4600,2.3965,2.4098
sa,4650,2.3998,2.4023
sa,4700,2.4003,2.4153
sa,4750,2.3959,2.4196
sa,4800,2.4036,2.413
sa,4850,2.3877,2.4156
sa,4900,2.3915,2.4233
sa,4950,2.3882,2.4072
